Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
Where I Work,How I create virtual twins for fabrics and furniture,Jakub Cech creates digital versions of materials for use in the virtual world.,Esme Hedley,26-Aug-24,how i create virtual twins for fabrics and furniture,"['how', 'i', 'create', 'virtual', 'twins', 'for', 'fabrics', 'and', 'furniture']","['create', 'virtual', 'twins', 'fabrics', 'furniture']","['creat', 'virtual', 'twin', 'fabric', 'furnitur']","['create', 'virtual', 'twin', 'fabric', 'furniture']"
Article,Birth of protein folds and functions in the virome,"Structural comparison of predicted viral protein structures with known protein structures suggests taxonomic relationships and functions for up to 25% of unannotated viral proteins, including many with putative functions in host immune evasion.","Jason Nomburg, Erin E. Doherty, Jennifer A. Doudna",26-Aug-24,birth of protein folds and functions in the virome,"['birth', 'of', 'protein', 'folds', 'and', 'functions', 'in', 'the', 'virome']","['birth', 'protein', 'folds', 'functions', 'virome']","['birth', 'protein', 'fold', 'function', 'virom']","['birth', 'protein', 'fold', 'function', 'virome']"
Comment,The meaning of the Anthropocene: why it matters even without a formal geological definition,"Even though geologists have rejected the designation of an Anthropocene epoch, the idea of a major planetary transition in the mid-twentieth century remains useful across physical and social sciences, the humanities and policy.","Jan Zalasiewicz, Julia Adeney Thomas, Martin J. Head",26-Aug-24,the meaning of the anthropocene why it matters even without a formal geological definition,"['the', 'meaning', 'of', 'the', 'anthropocene', 'why', 'it', 'matters', 'even', 'without', 'a', 'formal', 'geological', 'definition']","['meaning', 'anthropocene', 'matters', 'even', 'without', 'formal', 'geological', 'definition']","['mean', 'anthropocen', 'matter', 'even', 'without', 'formal', 'geolog', 'definit']","['meaning', 'anthropocene', 'matter', 'even', 'without', 'formal', 'geological', 'definition']"
Research Highlight,WhatScienceandNatureare good for: causing paper cuts,"Experiments reveal that human skin is most reliably cut by specific thicknesses of paper, including the kind used to print certain high-profile journals.","N, /, A",23-Aug-24,whatscienceandnatureare good for causing paper cuts,"['whatscienceandnatureare', 'good', 'for', 'causing', 'paper', 'cuts']","['whatscienceandnatureare', 'good', 'causing', 'paper', 'cuts']","['whatscienceandnaturear', 'good', 'caus', 'paper', 'cut']","['whatscienceandnatureare', 'good', 'causing', 'paper', 'cut']"
Futures,Story time,Family matters.,Beth Cato,23-Aug-24,story time,"['story', 'time']","['story', 'time']","['stori', 'time']","['story', 'time']"
News,"Stone Age builders had engineering savvy, finds study of 6000-year-old monument",A survey of the Dolmen of Menga suggests that the stone tomb’s Neolithic builders had an understanding of science.,Roff Smith,23-Aug-24,stone age builders had engineering savvy finds study of 6000yearold monument,"['stone', 'age', 'builders', 'had', 'engineering', 'savvy', 'finds', 'study', 'of', '6000yearold', 'monument']","['stone', 'age', 'builders', 'engineering', 'savvy', 'finds', 'study', '6000yearold', 'monument']","['stone', 'age', 'builder', 'engin', 'savvi', 'find', 'studi', '6000yearold', 'monument']","['stone', 'age', 'builder', 'engineering', 'savvy', 'find', 'study', '6000yearold', 'monument']"
News,"AI analysed 1,500 policies to cut emissions. These ones worked",Only 63 climate change interventions led to significant reductions in carbon emissions.,Xiaoying  You,23-Aug-24,ai analysed 1500 policies to cut emissions these ones worked,"['ai', 'analysed', '1500', 'policies', 'to', 'cut', 'emissions', 'these', 'ones', 'worked']","['ai', 'analysed', '1500', 'policies', 'cut', 'emissions', 'ones', 'worked']","['ai', 'analys', '1500', 'polici', 'cut', 'emiss', 'one', 'work']","['ai', 'analysed', '1500', 'policy', 'cut', 'emission', 'one', 'worked']"
News,Science treasures from Microsoft mogul up for auction — and researchers are salivating,"Spacesuits, historic computers and more from the estate of the late Paul Allen are going on sale.",Alix  Soliman,23-Aug-24,science treasures from microsoft mogul up for auction  and researchers are salivating,"['science', 'treasures', 'from', 'microsoft', 'mogul', 'up', 'for', 'auction', 'and', 'researchers', 'are', 'salivating']","['science', 'treasures', 'microsoft', 'mogul', 'auction', 'researchers', 'salivating']","['scienc', 'treasur', 'microsoft', 'mogul', 'auction', 'research', 'saliv']","['science', 'treasure', 'microsoft', 'mogul', 'auction', 'researcher', 'salivating']"
Career Feature,How to harness AI’s potential in research — responsibly and ethically,"Artificial intelligence is propelling advances in all areas of science. But vigilance is needed, warn four researchers at the leading edge.",Jane Palmer,23-Aug-24,how to harness ais potential in research  responsibly and ethically,"['how', 'to', 'harness', 'ais', 'potential', 'in', 'research', 'responsibly', 'and', 'ethically']","['harness', 'ais', 'potential', 'research', 'responsibly', 'ethically']","['har', 'ai', 'potenti', 'research', 'respons', 'ethic']","['harness', 'ai', 'potential', 'research', 'responsibly', 'ethically']"
Research Briefing,Lactate helps cancer cells resist chemotherapy,"The molecule lactate is a waste product of the metabolism of sugar without oxygen — a metabolic pathway preferentially used by cancer cells to generate their energy. Metabolomics analysis reveals that lactate in tumour cells promotes resistance to chemotherapy, and sheds light on the molecular mechanism that underlies this unexpected role of lactate in cancer.","N, /, A",23-Aug-24,lactate helps cancer cells resist chemotherapy,"['lactate', 'helps', 'cancer', 'cells', 'resist', 'chemotherapy']","['lactate', 'helps', 'cancer', 'cells', 'resist', 'chemotherapy']","['lactat', 'help', 'cancer', 'cell', 'resist', 'chemotherapi']","['lactate', 'help', 'cancer', 'cell', 'resist', 'chemotherapy']"
Career Feature,Partners in drug discovery: how to collaborate with non-governmental organizations,"Not all researchers join forces with big pharmaceutical firms, non-profit groups can help take lifesaving findings to where they are needed most.",Anna  Napolitano,23-Aug-24,partners in drug discovery how to collaborate with nongovernmental organizations,"['partners', 'in', 'drug', 'discovery', 'how', 'to', 'collaborate', 'with', 'nongovernmental', 'organizations']","['partners', 'drug', 'discovery', 'collaborate', 'nongovernmental', 'organizations']","['partner', 'drug', 'discoveri', 'collabor', 'nongovernment', 'organ']","['partner', 'drug', 'discovery', 'collaborate', 'nongovernmental', 'organization']"
Research Briefing,Ancient equine genomes reveal dawn of horse domestication,"An analysis of ancient genomes reveals an explosive geographical and demographic spread of modern domestic horses about 4,200 years ago. The findings counter the idea that horses accompanied and mobilized the mass migration of humans from the Eurasian steppes about 5,000 years ago.","N, /, A",23-Aug-24,ancient equine genomes reveal dawn of horse domestication,"['ancient', 'equine', 'genomes', 'reveal', 'dawn', 'of', 'horse', 'domestication']","['ancient', 'equine', 'genomes', 'reveal', 'dawn', 'horse', 'domestication']","['ancient', 'equin', 'genom', 'reveal', 'dawn', 'hors', 'domest']","['ancient', 'equine', 'genome', 'reveal', 'dawn', 'horse', 'domestication']"
Book Review,Fall of the wild: why pristine wilderness is a human-made myth,"Even ‘untouched’ natural landscapes bear witness to millennia of human influence, a lyrical book argues — with implications for how we seek to rewild them.",Douglas H. Erwin,23-Aug-24,fall of the wild why pristine wilderness is a humanmade myth,"['fall', 'of', 'the', 'wild', 'why', 'pristine', 'wilderness', 'is', 'a', 'humanmade', 'myth']","['fall', 'wild', 'pristine', 'wilderness', 'humanmade', 'myth']","['fall', 'wild', 'pristin', 'wilder', 'humanmad', 'myth']","['fall', 'wild', 'pristine', 'wilderness', 'humanmade', 'myth']"
Research Highlight,This unlucky star got mangled by a black hole — twice,Bursts of light hint that a star in a nearby galaxy was partially shredded in 2022 and 2024 and might be in for another round.,"N, /, A",22-Aug-24,this unlucky star got mangled by a black hole  twice,"['this', 'unlucky', 'star', 'got', 'mangled', 'by', 'a', 'black', 'hole', 'twice']","['unlucky', 'star', 'got', 'mangled', 'black', 'hole', 'twice']","['unlucki', 'star', 'got', 'mangl', 'black', 'hole', 'twice']","['unlucky', 'star', 'got', 'mangled', 'black', 'hole', 'twice']"
Nature Podcast,Can ageing be stopped? A biologist explains,Nobel laureate Venki Ramakrishnan joins us to talk about his bookWhy We Die: The New Science of Ageing and the Quest for Immortality.,Benjamin Thompson,22-Aug-24,can ageing be stopped a biologist explains,"['can', 'ageing', 'be', 'stopped', 'a', 'biologist', 'explains']","['ageing', 'stopped', 'biologist', 'explains']","['age', 'stop', 'biologist', 'explain']","['ageing', 'stopped', 'biologist', 'explains']"
News,Extreme heat is a huge killer — these local approaches can keep people safe,"As the threat of deadly heatwaves rises, scientists are working with cities to introduce low-tech cooling features to protect citizens.",Alix  Soliman,22-Aug-24,extreme heat is a huge killer  these local approaches can keep people safe,"['extreme', 'heat', 'is', 'a', 'huge', 'killer', 'these', 'local', 'approaches', 'can', 'keep', 'people', 'safe']","['extreme', 'heat', 'huge', 'killer', 'local', 'approaches', 'keep', 'people', 'safe']","['extrem', 'heat', 'huge', 'killer', 'local', 'approach', 'keep', 'peopl', 'safe']","['extreme', 'heat', 'huge', 'killer', 'local', 'approach', 'keep', 'people', 'safe']"
News Q&A,Don’t stop me now: Queen’s Brian May on saving badgers — and the scientific method,"The guitarist has spent a decade studying the science of bovine tuberculosis, which can be carried by badgers, and has identified a new method of spread.",Elizabeth Gibney,22-Aug-24,do not stop me now queens brian may on saving badgers  and the scientific method,"['do', 'not', 'stop', 'me', 'now', 'queens', 'brian', 'may', 'on', 'saving', 'badgers', 'and', 'the', 'scientific', 'method']","['stop', 'queens', 'brian', 'may', 'saving', 'badgers', 'scientific', 'method']","['stop', 'queen', 'brian', 'may', 'save', 'badger', 'scientif', 'method']","['stop', 'queen', 'brian', 'may', 'saving', 'badger', 'scientific', 'method']"
Nature Briefing,"Daily briefing: It’s not the fasting, it’s the eating","Fasting’s regenerative powers kick in when the feasting starts. Plus, future plans for detecting gravitational waves and an energy-rating scheme for artificial intelligence systems.",Flora Graham,22-Aug-24,daily briefing it is not the fasting it is the eating,"['daily', 'briefing', 'it', 'is', 'not', 'the', 'fasting', 'it', 'is', 'the', 'eating']","['daily', 'briefing', 'fasting', 'eating']","['daili', 'brief', 'fast', 'eat']","['daily', 'briefing', 'fasting', 'eating']"
